ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_SOS_Total,E_20_SOS_Dem,E_20_SOS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,21440,20207,489,95,141,534,19,21196,19689,629,47,119,688,96,21710,19523,611,148,240,927,68,21727,19539,611,147,240,903,68,21654,19910,666,57,157,721,37,22243,20312,727,59,176,856,31,17113,16302,300,28,81,399,15,17065,16088,369,16,62,472,45,17598,16041,399,82,159,677,50,17598,16041,399,22,92,186,13,76,769,17438,16450,375,23,73,475,39,17716,16718,331,14,80,517,33,10025,3231,6207,10155,2198,7407,10324,3556,6328,9971,2256,7715,10217,3120,6770,11875,3026,8634,12888,3038,9583,12863,3469,9394,12841,3209,9152,12705,3015,9690,12655,2893,9193,12690,3042,9648,10335,2367,7456
2,2,18696,17531,439,114,201,446,38,21243,20283,365,103,115,523,0,21528,19328,643,182,303,751,79,21538,19336,643,181,300,724,79,21646,20533,351,149,142,560,74,21637,19944,733,173,121,562,86,14714,13947,276,55,144,314,21,17359,16596,302,23,47,353,0,17345,15805,446,80,211,542,49,17345,15805,446,37,103,144,19,88,703,17485,16641,294,45,67,352,0,17140,16111,504,105,123,235,0,9666,4481,4719,10173,4254,5138,10373,5541,4453,9927,3806,6121,10594,5996,4344,12217,6160,5796,13271,6629,6311,13306,7042,6264,13228,6631,6126,13012,6454,6558,12890,6043,6193,12979,6325,6654,10473,5384,4748
3,3,18610,17624,358,68,176,424,40,20272,18762,339,146,196,795,10,21836,19662,665,131,321,779,58,21853,19677,665,129,317,750,52,20141,18411,471,106,305,840,3,20968,19031,665,84,565,587,8,14167,13529,218,36,99,290,24,15272,14279,268,96,108,486,12,16906,15438,393,81,222,544,43,16906,15438,393,37,99,119,6,65,749,15349,14324,255,61,125,516,4,16144,15132,323,71,198,373,0,9125,3202,5487,9996,2547,6845,10192,3831,5979,9899,2324,7575,10421,3888,6255,12113,3726,8146,13136,3922,8951,13172,4298,8874,13131,3947,8726,12959,3740,9219,12893,3676,8601,12941,3727,9214,10606,3271,6933
4,4,20241,18749,550,120,266,646,30,21891,19729,1352,218,310,638,48,21429,18813,765,171,384,1001,62,21463,18842,765,164,364,902,50,22293,20163,1229,260,246,792,47,23052,20857,830,137,424,735,9,15448,14484,325,64,181,425,19,16702,15455,796,31,110,306,15,16696,14940,485,90,235,728,33,16696,14940,485,52,161,230,10,55,763,16929,15762,750,65,67,295,10,17794,16667,536,4,113,418,0,8666,3289,4963,8504,2439,5433,8665,3639,4561,8402,2289,6113,8440,3632,4502,9608,3397,5941,10303,3450,6535,10263,3889,6374,10263,3482,6235,10108,3449,6659,10075,3248,6246,10083,3395,6688,7772,2770,4641
5,5,18281,17244,403,91,184,378,27,19731,18259,362,225,463,507,102,21690,19458,722,162,369,783,31,21696,19462,723,162,365,771,28,19769,18378,277,184,518,442,104,20772,19061,377,234,308,650,3,13639,12982,245,47,122,262,16,14683,13761,211,153,137,303,12,16530,15065,466,89,218,547,24,16530,15065,466,34,122,132,12,56,643,15057,14205,196,105,221,253,0,15766,14897,269,90,117,390,0,8289,2682,5202,9189,2108,6565,9378,3218,5795,9114,1901,7213,9340,3260,5785,11039,3191,7620,11997,3391,8353,12042,3779,8263,11994,3416,8155,11844,3253,8591,11794,3126,8131,11846,3215,8631,9524,2690,6407
6,6,18355,16902,421,96,120,840,20,20270,18521,547,166,266,817,98,21608,19073,646,138,259,1249,48,21623,19085,646,135,256,1225,46,21936,19487,813,252,217,1268,64,23125,20323,919,148,189,1278,98,14476,13519,264,41,68,584,17,16209,15128,342,45,108,516,1,17254,15501,427,66,180,879,28,17254,15501,427,23,94,482,6,75,646,17389,15774,489,148,68,828,4,18232,16530,615,53,90,928,4,10378,3546,6355,10843,2828,7486,11128,4095,6686,10758,2493,8265,11204,4023,6919,12933,3956,8770,13961,4153,9581,13984,4496,9488,13929,4138,9377,13820,4034,9786,13719,3945,9234,13738,3936,9802,11554,3462,7732
7,7,19492,16219,495,85,151,2679,29,20179,16244,629,174,160,3102,81,21636,17112,729,166,214,3272,68,21655,17122,729,163,210,3178,66,20472,16810,600,215,238,2762,103,21240,17078,839,134,269,2769,117,15141,13050,288,49,88,1710,13,15824,13314,398,47,63,1965,15,17394,14263,502,105,146,2207,56,17394,14263,502,44,69,1245,12,73,1186,16045,13703,392,55,91,1747,15,16833,14384,438,45,132,1795,34,10289,4089,5618,10028,2728,6655,10251,4288,5511,9887,2457,7430,10507,4238,5934,11822,3896,7690,12759,3943,8556,12729,4555,8174,12714,3963,8148,12625,3926,8699,12540,4079,7929,12503,3818,8685,10841,3359,6862
8,8,21327,7944,561,138,80,13016,26,21844,7739,882,268,79,13179,121,21764,6982,641,183,141,14217,67,21794,6988,641,181,137,14090,67,22046,7786,878,279,101,13419,141,22520,7972,818,222,119,13574,188,14765,6242,275,69,55,8281,15,14985,6179,330,155,32,8283,18,15062,5532,365,86,101,9116,46,15062,5532,365,17,63,8159,19,29,878,15027,5898,476,171,33,8543,18,15757,6058,629,126,37,8917,8,8200,5175,2695,7611,4272,2827,7838,5337,2252,7663,4365,3298,7945,5542,2242,8574,5308,3105,9024,5288,3517,9137,5910,3227,9099,5398,3252,9032,5523,3509,9021,5548,3121,8997,5465,3532,5546,2846,2473
9,9,22461,20901,424,105,127,971,20,21482,19627,582,141,108,1153,7,22438,19887,531,176,218,1417,58,21849,19540,522,163,218,1300,58,21107,19233,413,162,115,1245,12,21852,19500,624,213,124,1325,28,17557,16461,266,51,68,733,11,16741,15533,360,90,74,703,0,17676,15841,330,104,132,1076,32,17676,15841,330,48,81,600,10,69,697,16543,15313,292,95,49,806,0,17046,15658,374,149,57,820,0,11055,4037,6578,10775,2421,7636,11088,4690,6086,10722,2100,8622,10689,4063,6280,11588,3302,8083,12277,3129,8892,12309,3751,8558,12271,3288,8505,12157,3293,8864,12020,2958,8475,12077,3073,9004,9729,1473,6613
